2048	128	31	484.6
2048	256	31	404.2
2048	512	31	626.6
2048	1024	31	559.7
2048	2048	31	640.2
2048	4096	31	985.5
2048	8192	31	1439.6
			
2048	128	21	503.3
2048	256	21	633
2048	512	21	636.7
2048	1024	21	576.5
2048	2048	21	717.9
2048	4096	21	642.1
2048	8192	21	609.8
			
4096	128	31	628.1
4096	256	31	601
4096	512	31	760
4096	1024	31	936.8
4096	2048	31	1165.4
4096	3072	31	1257.9
			
4096	128	21	1046.2
4096	256	21	1159.8
4096	512	21	1186
4096	1024	21	1371.7
4096	2048	21	920.9
4096	3072	21	784.7
			
8192	128	31	839
8192	256	31	1139.4
8192	512	31	853.2
8192	768	31	591.5
			
8192	128	21	1547
8192	256	21	1343.2
8192	512	21	1495.9
8192	768	21	1158.5
